alpha,eta,hidden_nodes,mse
0.2,0.9,3,0.009939719371686693
0.7,0.6,2,0.009949176863733665
0.2,0.6,3,0.009954547108090975
0.6,0.5,3,0.009959027915157861
0.2,0.9,3,0.009961967213862047
0.2,0.7,3,0.009970467782954552
0.2,0.5,3,0.009981435969809034
0.8,0.6,2,0.00998215953288185
0.9,0.7,3,0.009987880410843766
0.3,0.5,2,0.013720776295867087
0.8,0.6,3,0.024860344341585898
0.7,0.5,2,0.03127696589206282
0.6,0.3,2,0.11593595426602549
0.2,0.4,3,0.14984159502590783
0.5,0.3,2,0.2955372042278309
0.9,0.3,3,0.41111953545384505
0.2,0.8,2,0.4615583806573099
0.1,0.9,2,0.4652888011615292
0.5,0.7,2,0.5518746277423079
0.8,0.4,2,0.5520156208508948
0.5,0.7,2,0.5589995647497219
0.7,0.2,3,0.5706145442918611
0.1,0.3,3,0.5756084649066415
0.9,0.3,3,0.7613153709872404
0.3,0.2,2,0.7907142784160243
0.9,0.2,3,0.7935184033337626
0.6,0.1,2,0.8693664540385477
0.7,0.1,3,0.8778881062499417
0.8,0.1,2,0.8883657954099102
0.9,0.1,2,0.8914796994080972
