alpha,eta,lambda,functions,hidden_nodes,batch_size,kernel_init,val_mee
0.6,0.002,0.0004,tanh,60,2,XavierNormalInitialization,18.58028443084298
0.4,0.001,0.0006,tanh,20,16,RandomNormalInitialization,18.580331254714732
