eta,momentum,lambda,error
0.7000000000000001,0.7000000000000001,0.01,0.9392056279529274
0.6,0.1,0.1,0.9551266256434514
0.5,0.7000000000000001,0.07,0.961040289597813
0.6,0.4,0.04000000000000001,0.9644242653375792
0.5,1.0,0.1,0.9786130285045173
0.4,0.7000000000000001,0.04000000000000001,0.9836587065982507
0.4,0.2,0.09000000000000001,0.9916370868200788
0.4,0.5,0.08,0.9936650822513609
0.9,0.30000000000000004,0.1,0.9975550469313605
0.5,0.7000000000000001,0.05000000000000001,0.9982137369749267
0.4,0.1,0.020000000000000004,0.9999444491216157
0.30000000000000004,0.1,0.09000000000000001,1.0063992115784572
0.4,0.1,0.05000000000000001,1.0268412831511524
0.7000000000000001,0.7000000000000001,0.05000000000000001,1.0282062052474028
0.30000000000000004,0.30000000000000004,0.09000000000000001,1.033535124175754
0.5,0.5,0.04000000000000001,1.0360280392408756
0.6,1.0,0.06000000000000001,1.0380858182233055
0.5,0.4,0.06000000000000001,1.0509975940065646
0.6,0.1,0.05000000000000001,1.0523501820732482
0.8,0.2,0.1,1.0547415059338852
0.5,0.4,0.04000000000000001,1.0599056606728305
0.8,0.8,0.1,1.0608822468337746
0.6,0.30000000000000004,0.1,1.0619882346917084
0.9,0.7000000000000001,0.05000000000000001,1.0627090860326815
0.5,0.4,0.01,1.085509471718971
0.5,0.6,0.020000000000000004,1.0882775570227072
0.30000000000000004,0.1,0.08,1.0898233466550766
0.6,0.2,0.06000000000000001,1.09104019958583
0.6,0.1,0.020000000000000004,1.094041793058024
0.7000000000000001,0.1,0.1,1.0995125756552968
0.8,0.4,0.030000000000000006,1.1005249738123344
0.6,0.8,0.06000000000000001,1.1037821398460088
0.4,0.30000000000000004,0.07,1.1074156735032055
0.30000000000000004,0.1,0.020000000000000004,1.114412795017191
0.5,0.6,0.09000000000000001,1.1250427044522349
0.9,0.4,0.030000000000000006,1.1270784232355728
0.5,0.1,0.09000000000000001,1.127200581421779
0.4,0.1,0.09000000000000001,1.1281312178937666
0.4,0.5,0.05000000000000001,1.1309650917091187
0.4,1.0,0.030000000000000006,1.1347632162776766
0.5,0.7000000000000001,0.06000000000000001,1.1377814259873962
0.6,0.9,0.09000000000000001,1.1386190400564555
0.8,1.0,0.06000000000000001,1.1427684046425282
0.9,0.7000000000000001,0.020000000000000004,1.143241883934992
0.4,0.2,0.07,1.1440165078171798
0.6,0.4,0.020000000000000004,1.1464263486319302
0.6,0.9,0.06000000000000001,1.1482285386797033
0.8,0.8,0.08,1.1521302493966434
0.5,0.6,0.05000000000000001,1.1564383426336897
1.0,0.30000000000000004,0.04000000000000001,1.1620932769291217
0.7000000000000001,0.5,0.08,1.165112130953227
0.4,0.30000000000000004,0.020000000000000004,1.1671442217622083
0.5,0.1,0.01,1.172032566067617
0.7000000000000001,0.9,0.05000000000000001,1.1835904265354855
0.5,0.4,0.020000000000000004,1.1851052273451876
0.7000000000000001,0.30000000000000004,0.030000000000000006,1.1893490992433242
0.9,0.8,0.06000000000000001,1.1929359574365703
0.5,0.30000000000000004,0.01,1.2055185498679168
0.30000000000000004,0.2,0.04000000000000001,1.2140553197445383
1.0,0.1,0.08,1.2177188536702523
0.4,0.4,0.05000000000000001,1.2207593677315982
0.6,0.7000000000000001,0.09000000000000001,1.243913713654064
1.0,0.8,0.05000000000000001,1.2449283201262993
1.0,0.1,0.1,1.2567186282126928
0.5,0.8,0.030000000000000006,1.2696048035589378
1.0,0.7000000000000001,0.030000000000000006,1.2786495324512208
0.4,0.30000000000000004,0.1,1.2796298462954732
0.8,0.4,0.09000000000000001,1.280429918705525
0.7000000000000001,0.1,0.030000000000000006,1.2907819509182794
0.9,0.5,0.01,1.292445969606833
0.5,0.5,0.08,1.2948583096484512
0.9,0.9,0.08,1.2974112617762732
0.8,0.4,0.1,1.2979739390696474
0.9,0.8,0.05000000000000001,1.302128376359873
0.6,0.7000000000000001,0.07,1.307414208938644
0.9,0.4,0.04000000000000001,1.307853813716772
0.5,0.5,0.020000000000000004,1.3189627082910051
0.6,0.5,0.05000000000000001,1.3196564257993235
0.4,0.8,0.08,1.3251908711011915
0.5,0.2,0.09000000000000001,1.3293915674611612
0.7000000000000001,0.6,0.06000000000000001,1.3307590349334766
0.5,0.30000000000000004,0.030000000000000006,1.3314850583470297
1.0,0.7000000000000001,0.020000000000000004,1.3382010238342952
0.5,0.30000000000000004,0.1,1.3392979009734691
0.7000000000000001,0.7000000000000001,0.020000000000000004,1.348891314698045
0.7000000000000001,0.8,0.05000000000000001,1.3562438582021485
0.4,0.4,0.06000000000000001,1.3626200592832365
0.4,0.2,0.01,1.3649651609038502
0.7000000000000001,0.4,0.020000000000000004,1.3677716018811579
0.6,0.5,0.1,1.3709139959124654
0.9,0.6,0.030000000000000006,1.3726922203916472
0.5,0.6,0.06000000000000001,1.3756417591567418
0.6,0.4,0.08,1.3852842802913135
0.4,0.5,0.020000000000000004,1.39414649629751
1.0,0.2,0.09000000000000001,1.4274347040772886
1.0,0.6,0.04000000000000001,1.4295343969226528
0.6,0.30000000000000004,0.07,1.4303821016911926
0.6,0.5,0.01,1.4348769279652638
0.4,0.2,0.05000000000000001,1.4361402216193497
0.5,0.8,0.1,1.4363945762762282
0.30000000000000004,0.1,0.05000000000000001,1.4405313154487276
0.6,0.2,0.05000000000000001,1.447892389530342
0.4,0.1,0.04000000000000001,1.4506696162385395
0.9,0.8,0.1,1.4536712138574637
0.8,0.5,0.06000000000000001,1.4612143160970152
0.8,0.8,0.04000000000000001,1.4640781320378793
0.9,0.2,0.1,1.4654067852230546
0.7000000000000001,0.5,0.1,1.4815799200283881
0.7000000000000001,0.30000000000000004,0.09000000000000001,1.497247437216136
0.5,0.4,0.1,1.498710558163202
0.30000000000000004,0.8,0.07,1.4988481593683087
0.7000000000000001,0.1,0.06000000000000001,1.5070236879226873
1.0,0.2,0.1,1.5099541367768752
0.7000000000000001,0.2,0.1,1.5158226275035356
0.5,0.2,0.07,1.5166528019616188
0.6,0.2,0.07,1.5178996628010946
1.0,0.5,0.07,1.5235822022695924
0.8,0.30000000000000004,0.04000000000000001,1.52418131043996
0.8,0.30000000000000004,0.05000000000000001,1.525308737778753
0.8,0.5,0.020000000000000004,1.5258861963494363
0.6,0.2,0.08,1.5289554971742434
0.6,0.2,0.04000000000000001,1.5296653689596684
0.9,0.2,0.04000000000000001,1.5309546255406885
0.5,0.1,0.05000000000000001,1.5382569562132815
1.0,0.8,0.030000000000000006,1.5385627561655375
0.6,0.5,0.06000000000000001,1.5391814652921623
0.5,0.2,0.030000000000000006,1.540562242658557
0.8,0.7000000000000001,0.07,1.5493363560795588
1.0,0.2,0.05000000000000001,1.5496339881324885
0.7000000000000001,0.4,0.09000000000000001,1.5562674335692714
0.7000000000000001,1.0,0.07,1.559783805176225
0.6,0.1,0.09000000000000001,1.5599132301917005
0.7000000000000001,0.8,0.09000000000000001,1.562674550364705
0.9,0.6,0.04000000000000001,1.5633482865056239
0.5,0.1,0.07,1.5650263774923268
0.5,0.1,0.08,1.5707307961092791
1.0,0.1,0.09000000000000001,1.5732795763625604
0.7000000000000001,0.1,0.01,1.574334587517059
0.9,0.2,0.030000000000000006,1.5751702977103994
0.7000000000000001,0.2,0.08,1.588342047708139
0.6,0.4,0.09000000000000001,1.592478855424133
0.6,0.5,0.04000000000000001,1.5966310276437867
0.6,0.2,0.1,1.5969832670124957
0.6,0.1,0.06000000000000001,1.6001866511229441
0.5,0.1,0.04000000000000001,1.600894154579974
1.0,0.8,0.04000000000000001,1.6050244780956633
0.9,0.4,0.08,1.6067389854262628
0.6,0.2,0.020000000000000004,1.611794872242985
0.9,0.4,0.020000000000000004,1.6166872457374646
1.0,0.8,0.08,1.6170937061521171
0.9,0.6,0.07,1.622998159816288
1.0,0.7000000000000001,0.04000000000000001,1.6238723077796826
0.8,0.6,0.020000000000000004,1.6391744910687753
0.4,0.2,0.06000000000000001,1.6401731449468135
0.8,0.2,0.09000000000000001,1.6405590904981173
0.5,0.4,0.07,1.6406493782365401
0.8,0.1,0.09000000000000001,1.6447233305163573
0.1,0.7000000000000001,0.020000000000000004,1.645602945476489
0.5,0.9,0.01,1.646143081634341
0.8,0.6,0.05000000000000001,1.658958650169424
0.4,0.5,0.06000000000000001,1.6678581245933042
0.7000000000000001,0.1,0.020000000000000004,1.6721560573367984
0.4,0.1,0.07,1.6727911220638387
0.6,0.7000000000000001,0.030000000000000006,1.6729654007185357
0.9,0.8,0.020000000000000004,1.6779160889383369
0.9,0.30000000000000004,0.08,1.678151549053156
1.0,0.6,0.030000000000000006,1.678391390956698
0.9,1.0,0.030000000000000006,1.6849715058162502
0.1,0.7000000000000001,0.030000000000000006,1.685235547106583
0.5,0.2,0.08,1.6872237964382564
1.0,0.4,0.020000000000000004,1.6899172905369253
0.8,0.30000000000000004,0.07,1.6916598604787731
0.6,0.7000000000000001,0.05000000000000001,1.6919261010840017
0.4,0.2,0.020000000000000004,1.6952670666701501
1.0,0.5,0.05000000000000001,1.6986006502754372
0.9,0.4,0.05000000000000001,1.698833940735947
0.9,0.1,0.030000000000000006,1.701019345985875
0.9,0.5,0.020000000000000004,1.7069449642002645
1.0,0.6,0.09000000000000001,1.7082017098759303
0.9,0.8,0.09000000000000001,1.7098092115529335
0.4,0.30000000000000004,0.09000000000000001,1.713730328571057
0.6,0.9,0.01,1.714795400695773
0.8,0.1,0.05000000000000001,1.7152195903712855
0.6,0.4,0.05000000000000001,1.715655900782634
0.4,0.1,0.030000000000000006,1.718277618325884
0.7000000000000001,0.1,0.04000000000000001,1.7183504586641891
0.7000000000000001,0.9,0.09000000000000001,1.7242901193912248
0.6,0.8,0.09000000000000001,1.7303588142800863
0.7000000000000001,0.8,0.07,1.7542887288519935
0.9,0.1,0.01,1.7563341517926767
0.4,0.4,0.09000000000000001,1.7597693562370822
0.6,0.1,0.07,1.761418415214642
0.7000000000000001,0.30000000000000004,0.04000000000000001,1.7630507284345878
0.7000000000000001,0.4,0.01,1.7659708086947372
0.7000000000000001,0.6,0.05000000000000001,1.770550972797534
1.0,1.0,0.020000000000000004,1.7728751777333576
0.4,0.2,0.030000000000000006,1.7754449215935164
